Name,ρV,N_br,N_db,N_bz,N_OH,N_ph,N_Hal,N_eth,N_ald,N_ket,Δμ_PW_hyd,Δμ_GF_hyd,Δμ_SDC+PW_hyd,Δμ_hyd_SDC+GF,Δ_μhyd_exp
3-methylbut-1-ene,3.81,1,1,0,0,0,0,0,0,0,11.39,4.87,2.19,2.37,1.82
but-1-ene,3.38,0,1,0,0,0,0,0,0,0,11.17,5.78,1.55,1.63,1.37
ethene,2.22,0,1,0,0,0,0,0,0,0,8.41,5.21,0.55,0.31,1.28
hept-1-ene,4.93,0,1,0,0,0,0,0,0,0,13.81,5.04,1.86,1.86,1.66
hex-1-ene,4.41,0,1,0,0,0,0,0,0,0,12.94,5.27,1.77,1.77,1.64
non-1-ene,5.95,0,1,0,0,0,0,0,0,0,15.43,4.44,1.93,1.91,2.06
2-methylbut-2-ene,3.84,1,1,0,0,0,0,0,0,0,11.90,5.69,2.66,3.21,1.31
oct-1-ene,5.45,0,1,0,0,0,0,0,0,0,14.68,4.79,1.94,1.94,2.08
pent-1-ene,3.90,0,1,0,0,0,0,0,0,0,12.11,5.58,1.71,1.74,1.66
propene,2.84,0,1,0,0,0,0,0,0,0,10.06,5.81,1.27,1.30,1.29
trans-hept-2-ene,4.98,0,1,0,0,0,0,0,0,0,14.42,5.66,2.39,2.52,1.67
