Name,ρV,N br,,N db,,N bz,,N OH,,N ph,,N Hal,N eth,,,N ald,,N ket,,Δμ PW hyd,,Δμ GF  hyd,,Δμ SDC+PW hyd,,Δμhyd SDC+GF,,Δμhyd  exp,,
acetaldehyde,2.37,0,0,0,0,0,0,0,1,0,4.65,0.15,-3.42,-3.50,-3.51,a
butyraldehyde,3.45,0,0,0,0,0,0,0,1,0,6.81,0.12,-2.90,-2.83,-3.18,a
formaldehyde,1.81,0,0,0,0,0,0,0,1,0,2.75,-0.88,-4.48,-4.88,-2.76,a
isobutyraldehyde,3.40,1,0,0,0,0,0,0,1,0,6.60,-0.02,-1.95,-1.62,-2.86,a
pentanal,3.97,0,0,0,0,0,0,0,1,0,7.68,-0.17,-2.81,-2.79,-3.03,a
propionaldehyde,2.93,0,0,0,0,0,0,0,1,0,5.71,0.14,-3.21,-3.15,-3.44,a
heptanal,5.00,0,0,0,0,0,0,0,1,0,9.42,-0.62,-2.64,-2.59,-2.67,b
hexanal,4.49,0,0,0,0,0,0,0,1,0,8.51,-0.41,-2.76,-2.71,-2.81,b
nonanal,6.02,0,0,0,0,0,0,0,1,0,10.96,-1.30,-2.62,-2.62,-2.07,b
octanal,5.52,0,0,0,0,0,0,0,1,0,10.22,-0.95,-2.61,-2.59,-2.29,b
